# Luminosity of the BIB pair-dump runs themselves, read from their .ref files.
# lumi_ee: cm^-2 s^-1 = lumi_ee[m^-2 per crossing] * 1e-4 * n_b * f_rep,
#   with n_b and f_rep read from the same .ref (factor 1.596), applied once.
# n_pairs: pairs per bunch crossing, as the run counted them.
# ref_filename: path under $GP_RAW_ROOT (see paths.py).
dataset,eps_y_nm,seed,n_x,n_y,n_z,n_m,lumi_ee,n_pairs,ref_filename
nominal,20.0,159302,512,512,25,100000,1.3695004680000002e+34,47716,output/C3_250/512_512_25_test_C3_250_particles_0.624_emittx_0.9_emitty_0.020_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_159302.ref
nominal,20.0,167029,512,512,25,100000,1.369390344e+34,47062,output/C3_250/512_512_25_test_C3_250_particles_0.624_emittx_0.9_emitty_0.020_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_167029.ref
nominal,20.0,167815,512,512,25,100000,1.3611342360000002e+34,47598,output/C3_250/512_512_25_test_C3_250_particles_0.624_emittx_0.9_emitty_0.020_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_167815.ref
tuned,2.0,100805,512,512,64,4471286,4.619941200000001e+34,116150,output_nm/C3_250/512_512_64_4471286_test_C3_250_particles_0.624_emittx_0.9_emitty_0.002_betax_12.0_betay_0.12_sigmaz_100_offsety_0_integration_method_2_nt6_seed_100805.ref
tuned,2.0,105469,512,512,64,4471286,4.417871640000001e+34,114200,output_nm/C3_250/512_512_64_4471286_test_C3_250_particles_0.624_emittx_0.9_emitty_0.002_betax_12.0_betay_0.12_sigmaz_100_offsety_0_integration_method_2_nt6_seed_105469.ref
tuned,2.0,130471,512,512,64,4471286,4.67658324e+34,118710,output_nm/C3_250/512_512_64_4471286_test_C3_250_particles_0.624_emittx_0.9_emitty_0.002_betax_12.0_betay_0.12_sigmaz_100_offsety_0_integration_method_2_nt6_seed_130471.ref
tuned,2.0,135135,512,512,64,4471286,4.569874680000001e+34,115646,output_nm/C3_250/512_512_64_4471286_test_C3_250_particles_0.624_emittx_0.9_emitty_0.002_betax_12.0_betay_0.12_sigmaz_100_offsety_0_integration_method_2_nt6_seed_135135.ref
tuned,2.0,143455,512,512,64,4471286,4.4004114e+34,113682,output_nm/C3_250/512_512_64_4471286_test_C3_250_particles_0.624_emittx_0.9_emitty_0.002_betax_12.0_betay_0.12_sigmaz_100_offsety_0_integration_method_2_nt6_seed_143455.ref
tuned,2.0,145992,512,512,64,4471286,4.59579372e+34,116020,output_nm/C3_250/512_512_64_4471286_test_C3_250_particles_0.624_emittx_0.9_emitty_0.002_betax_12.0_betay_0.12_sigmaz_100_offsety_0_integration_method_2_nt6_seed_145992.ref
tuned,2.0,153768,512,512,64,4471286,4.54267884e+34,115714,output_nm/C3_250/512_512_64_4471286_test_C3_250_particles_0.624_emittx_0.9_emitty_0.002_betax_12.0_betay_0.12_sigmaz_100_offsety_0_integration_method_2_nt6_seed_153768.ref
tuned,2.0,159302,512,512,64,4471286,4.49470308e+34,113960,output_nm/C3_250/512_512_64_4471286_test_C3_250_particles_0.624_emittx_0.9_emitty_0.002_betax_12.0_betay_0.12_sigmaz_100_offsety_0_integration_method_2_nt6_seed_159302.ref
tuned,2.0,167029,512,512,64,4471286,4.717632360000001e+34,116916,output_nm/C3_250/512_512_64_4471286_test_C3_250_particles_0.624_emittx_0.9_emitty_0.002_betax_12.0_betay_0.12_sigmaz_100_offsety_0_integration_method_2_nt6_seed_167029.ref
tuned,2.0,167815,512,512,64,4471286,4.4764288800000005e+34,114096,output_nm/C3_250/512_512_64_4471286_test_C3_250_particles_0.624_emittx_0.9_emitty_0.002_betax_12.0_betay_0.12_sigmaz_100_offsety_0_integration_method_2_nt6_seed_167815.ref
tuned,4.0,100805,512,256,64,707831,3.23156484e+34,89582,output_nm/C3_250/512_256_64_707831_test_C3_250_particles_0.624_emittx_0.9_emitty_0.004_betax_12.0_betay_0.12_sigmaz_100_offsety_0_integration_method_2_nt6_seed_100805.ref
tuned,4.0,105469,512,256,64,707831,3.27721044e+34,91140,output_nm/C3_250/512_256_64_707831_test_C3_250_particles_0.624_emittx_0.9_emitty_0.004_betax_12.0_betay_0.12_sigmaz_100_offsety_0_integration_method_2_nt6_seed_105469.ref
tuned,4.0,130471,512,256,64,707831,3.14001828e+34,88146,output_nm/C3_250/512_256_64_707831_test_C3_250_particles_0.624_emittx_0.9_emitty_0.004_betax_12.0_betay_0.12_sigmaz_100_offsety_0_integration_method_2_nt6_seed_130471.ref
