dataset,eps_y_nm,seed,n_x,n_y,n_z,n_m,channel,n_pairs,n_reach,frac_of_total_pct,reach_frac_of_total_pct,reach_pct,pt_median_MeV,pt_mean_MeV,pt_p90_MeV,pt_p99_MeV,pt_max_MeV,pt_median_reach_MeV,E_median_GeV,E_mean_GeV,theta_median_mrad,frac_pt_gt_20MeV
nominal,2.0,153768,512,512,25,100000,ALL,102166,112,100.0,100.0,0.10962551142258677,2.1478669794207006,6.731066581968943,20.452393406494323,46.71295696484175,100.41790204058258,15.164323995893538,0.07989405,1.283993586304064,22.141504007715646,10.373314018362272
nominal,2.0,159302,512,512,25,100000,BW,2348,4,2.334552974864779,3.7383177570093458,0.17035775127768313,1.485312366410189,4.598581565707087,14.127090270291932,36.16985473428294,55.79732998774621,14.226511209482002,0.0257128,0.574386912468058,46.281122273437724,5.3236797274275975
nominal,2.0,159302,512,512,25,100000,BH,53182,43,52.87742602608972,40.18691588785047,0.08085442442931819,3.3826208004743332,8.110941477785559,23.585433533079424,45.57286092395439,360.0976296629131,18.861643167594398,0.25492899999999996,1.6014277450935657,11.611653114339093,13.32029634086721
nominal,2.0,159302,512,512,25,100000,LL,45046,60,44.7880209990455,56.074766355140184,0.13319717621986413,1.3253945967964755,5.332432536423795,15.974409617201452,48.793352201306,111.67879440300439,16.01671547673242,0.0194901,0.9147121974659459,54.804229923259186,7.499001021178351
nominal,2.0,159302,512,512,25,100000,ALL,100576,107,100.0,100.0,0.10638720967228762,2.162771235072797,6.784504406852711,20.67889314185809,46.64504306057619,360.0976296629131,16.037689761631132,0.08240095,1.269884629107262,21.78903355597761,10.526368119630925
nominal,2.0,167029,512,512,25,100000,BW,2432,11,2.2832679272208347,11.827956989247312,0.45230263157894735,1.5009445900850245,4.553885268886886,12.782441841362571,36.20630418820429,52.61826986777256,13.283699821589678,0.02656045,0.5787179366249999,46.30077293023538,4.893092105263158
nominal,2.0,167029,512,512,25,100000,BH,56754,42,53.28313648910002,45.16129032258065,0.07400359446030236,3.380896950178025,8.063750278007966,23.411637014679556,45.276282431998084,170.2821976280226,15.390156843688118,0.25307,1.5947862519395284,11.487095837595524,13.165591852556648
nominal,2.0,167029,512,512,25,100000,LL,47328,40,44.43359558367914,43.01075268817204,0.08451656524678837,1.3174341452615754,5.261678226008249,15.664568920599594,48.23214306854103,107.44984402049005,13.690289446327306,0.01963465,0.9133920891311275,55.533313391324796,7.323360378634212
nominal,2.0,167029,512,512,25,100000,ALL,106514,93,100.0,100.0,0.08731246596691515,2.171716302736871,6.738549292417103,20.458198475546588,46.181715331678944,170.2821976280226,14.41904040815238,0.0826002,1.2688187633442178,21.733099120282873,10.38079501286216
nominal,2.0,167815,512,512,25,100000,BW,2492,11,2.427052086173984,12.222222222222221,0.44141252006420545,1.4898891433144066,4.77685387476968,14.060624811979242,40.654177809725006,59.5390710286216,43.87903903518863,0.02421155,0.604740555709069,46.83941384938815,5.417335473515249
