dataset,eps_y_nm,seed,n_x,n_y,n_z,n_m,channel,n_pairs,n_reach,reach_pct,median_pt_MeV,median_pt_reach_MeV
calibrated,20.0,105469,512,128,64,80000,LL,18868,12,0.0635997456010176,1.211022692937224,15.998527328425512
calibrated,20.0,130471,512,128,64,80000,ALL,45006,31,0.0688797049282318,2.0786077541823142,18.145993915488575
calibrated,20.0,130471,512,128,64,80000,BH,25622,23,0.08976660682226212,3.1903941697693634,19.57858076657402
calibrated,20.0,130471,512,128,64,80000,BW,1072,2,0.1865671641791045,1.677774033586149,20.709237654018978
calibrated,20.0,130471,512,128,64,80000,LL,18312,6,0.0327653997378768,1.1939297967594595,13.67107827383713
calibrated,20.0,135135,512,128,64,80000,ALL,45676,35,0.07662667484017865,2.0483201384664875,14.63595576274465
calibrated,20.0,135135,512,128,64,80000,BH,25852,19,0.07349528082933622,3.1674267714284343,18.352482297630615
calibrated,20.0,135135,512,128,64,80000,BW,1148,5,0.4355400696864111,1.4700606061699006,27.69225750651427
calibrated,20.0,135135,512,128,64,80000,LL,18676,11,0.058899121867637606,1.1792207409758138,12.760828108344134
calibrated,20.0,143455,512,128,64,80000,ALL,45794,32,0.06987814997597938,2.0239166513296576,14.463745766136096
calibrated,20.0,143455,512,128,64,80000,BH,25940,21,0.08095605242868158,3.0587616010415153,16.844992406211826
calibrated,20.0,143455,512,128,64,80000,BW,1032,3,0.29069767441860467,1.2450172229901924,13.031530888383529
calibrated,20.0,143455,512,128,64,80000,LL,18822,8,0.042503453405589205,1.1874915048913874,15.088335419930768
calibrated,20.0,145992,512,128,64,80000,ALL,46288,61,0.1317836156239198,2.0543792464949835,15.951576868685907
calibrated,20.0,145992,512,128,64,80000,BH,26154,36,0.13764624913971094,3.183164497013298,17.837149186696344
calibrated,20.0,145992,512,128,64,80000,BW,1114,5,0.4488330341113106,1.646124009789776,14.582974117697656
calibrated,20.0,145992,512,128,64,80000,LL,19020,20,0.10515247108307045,1.2042385957397175,12.616747208635216
calibrated,20.0,153768,512,128,64,80000,ALL,45556,55,0.12073052945824919,2.040425046639747,15.435427457302778
calibrated,20.0,153768,512,128,64,80000,BH,26092,22,0.08431703204047218,3.150094722335008,15.761333631881778
calibrated,20.0,153768,512,128,64,80000,BW,1100,10,0.9090909090909091,1.561867281189861,16.075215482355166
calibrated,20.0,153768,512,128,64,80000,LL,18364,23,0.12524504465258113,1.173517509004452,14.17465947659279
calibrated,20.0,159302,512,128,64,80000,ALL,45990,39,0.08480104370515329,2.0282007293015294,15.226843198929892
calibrated,20.0,159302,512,128,64,80000,BH,25852,17,0.06575893547887977,3.096119749505326,15.498564392511906
calibrated,20.0,159302,512,128,64,80000,BW,1176,6,0.5102040816326531,1.6379216710678222,12.271185033134865
calibrated,20.0,159302,512,128,64,80000,LL,18962,16,0.0843792848855606,1.200058767657043,17.670323914310206
calibrated,20.0,167029,512,128,64,80000,ALL,46294,35,0.07560374994599732,2.058355943866233,19.59380996229484
calibrated,20.0,167029,512,128,64,80000,BH,26540,18,0.06782215523737754,3.1358083112560955,20.725942327148353
calibrated,20.0,167029,512,128,64,80000,BW,1166,7,0.6003430531732419,1.6855568749369014,29.38488015440275
calibrated,20.0,167029,512,128,64,80000,LL,18588,10,0.05379814934366258,1.2072736577904282,14.748231330723996
calibrated,20.0,167815,512,128,64,80000,ALL,45918,53,0.11542314560738708,2.04906625928605,14.846927777964988
calibrated,20.0,167815,512,128,64,80000,BH,26176,25,0.09550733496332518,3.070590582381358,15.306125806787442
calibrated,20.0,167815,512,128,64,80000,BW,1058,3,0.2835538752362949,1.656649526671468,12.63851651011864
calibrated,20.0,167815,512,128,64,80000,LL,18684,25,0.13380432455576965,1.2192519027454713,14.846927777964988
nominal,20.0,100805,512,512,25,100000,ALL,47244,54,0.1143002286004572,2.014389097320299,16.080207749818907
nominal,20.0,100805,512,512,25,100000,BH,26800,27,0.10074626865671642,3.1154911604816657,15.465837725951163
nominal,20.0,100805,512,512,25,100000,BW,1034,5,0.4835589941972921,1.4402691021521736,20.341503342200703
nominal,20.0,100805,512,512,25,100000,LL,19410,22,0.11334363730036064,1.1563569642731724,20.271085747905335
nominal,20.0,105469,512,512,25,100000,ALL,46918,37,0.07886099151711497,2.063345984445595,13.390225247815334
nominal,20.0,105469,512,512,25,100000,BH,26618,18,0.06762341272822901,3.1402183837574635,14.150995496123317
nominal,20.0,105469,512,512,25,100000,BW,1138,5,0.43936731107205623,1.3671204253909497,12.267059962702762
nominal,20.0,105469,512,512,25,100000,LL,19162,14,0.07306126709111783,1.2195600737477552,14.986128297133144
nominal,20.0,130471,512,512,25,100000,ALL,46526,35,0.07522675493272579,2.0114749253782906,17.383211016871467
nominal,20.0,130471,512,512,25,100000,BH,26200,19,0.07251908396946564,3.098605403139528,15.427498523145143
nominal,20.0,130471,512,512,25,100000,BW,1056,5,0.4734848484848485,1.4287603251086032,18.1511612845958
nominal,20.0,130471,512,512,25,100000,LL,19270,11,0.05708354955889985,1.1525235877031061,17.383211016871467
nominal,20.0,135135,512,512,25,100000,ALL,48198,50,0.10373874434623843,2.0174104956117787,15.856992155539162
nominal,20.0,135135,512,512,25,100000,BH,27202,26,0.09558120726417176,3.104139343328743,15.36605866977327
nominal,20.0,135135,512,512,25,100000,BW,1170,4,0.3418803418803419,1.4424412128011668,31.227939848851257
nominal,20.0,135135,512,512,25,100000,LL,19826,20,0.10087763542822556,1.1968912235530358,16.52227193665756
nominal,20.0,143455,512,512,25,100000,ALL,47168,42,0.08904341926729986,2.019670658010347,14.260359155586814
nominal,20.0,143455,512,512,25,100000,BH,26822,17,0.06338080680038774,3.161240212045997,16.214093133666147
nominal,20.0,143455,512,512,25,100000,BW,1160,7,0.603448275862069,1.2899866708847019,24.10753948976066
nominal,20.0,143455,512,512,25,100000,LL,19186,18,0.09381840925674971,1.185423700827824,13.752877654044358
nominal,20.0,145992,512,512,25,100000,ALL,48192,45,0.09337649402390438,2.0562921068099764,17.635514698080748
nominal,20.0,145992,512,512,25,100000,BH,27462,15,0.05462093074065982,3.158793634715248,14.046088557945867
nominal,20.0,145992,512,512,25,100000,BW,1276,3,0.23510971786833856,1.287964086539313,10.849056797110345
nominal,20.0,145992,512,512,25,100000,LL,19454,27,0.1387889380076077,1.1811451761853455,19.049679391200954
nominal,20.0,153768,512,512,25,100000,ALL,46712,44,0.0941942113375578,2.0598054928189917,15.21072024442021
nominal,20.0,153768,512,512,25,100000,BH,26542,25,0.09419033983874614,3.172420000603077,13.209550506743739
nominal,20.0,153768,512,512,25,100000,BW,1248,5,0.40064102564102566,1.600408929493397,18.0777985199189
nominal,20.0,153768,512,512,25,100000,LL,18922,14,0.07398795053377022,1.1840890786130294,15.60594183240561
nominal,20.0,159302,512,512,25,100000,ALL,47716,46,0.09640372202196329,2.0547135930944127,15.51743658525178
nominal,20.0,159302,512,512,25,100000,BH,26958,19,0.0704800059351584,3.151906823573417,20.556451206780253
nominal,20.0,159302,512,512,25,100000,BW,1252,4,0.3194888178913738,1.4670408270126905,12.172274690096481
nominal,20.0,159302,512,512,25,100000,LL,19506,23,0.11791243719881062,1.2020203549561823,14.693798795281857
nominal,20.0,167029,512,512,25,100000,ALL,47062,51,0.10836768518125027,2.0458872060709967,16.15327927422283
nominal,20.0,167029,512,512,25,100000,BH,26944,24,0.08907363420427554,3.059693339455103,18.50346249335496
nominal,20.0,167029,512,512,25,100000,BW,1144,7,0.6118881118881119,1.6039191735724576,18.156778152696507
nominal,20.0,167029,512,512,25,100000,LL,18974,20,0.10540739959945188,1.1894656825902583,15.368725263317305
nominal,20.0,167815,512,512,25,100000,ALL,47598,53,0.11134921635362831,2.022611129694821,16.104376973057704
nominal,20.0,167815,512,512,25,100000,BH,27032,22,0.08138502515537141,3.0930861975113735,17.49317270032557
nominal,20.0,167815,512,512,25,100000,BW,1130,5,0.4424778761061947,1.5702251252713577,21.25229490024349
nominal,20.0,167815,512,512,25,100000,LL,19436,26,0.13377238114838444,1.2027731719899981,15.230808879482947
