eps_y_nm,dataset,channel,seeds,n_x,n_y,n_z,n_m,n_pairs,n_reach,reach_pct,frac_of_total_pct,reach_frac_of_total_pct,pt_median_MeV,pt_mean_MeV,pt_p90_MeV,pt_p99_MeV,pt_max_MeV,pt_median_reach_MeV,E_median_GeV,theta_median_mrad,frac_pt_gt_20MeV,n_pairs_sd,n_reach_sd,reach_pct_sd,frac_of_total_pct_sd,reach_frac_of_total_pct_sd,pt_median_MeV_sd,pt_mean_MeV_sd,pt_p90_MeV_sd,pt_p99_MeV_sd,pt_max_MeV_sd,pt_median_reach_MeV_sd,E_median_GeV_sd,theta_median_mrad_sd,frac_pt_gt_20MeV_sd
4.0,nominal,BW,10,512,512,25,100000,1980.2,8.6,0.4328768852705768,2.2735767423238036,10.128502937325374,1.5606390612997716,4.682772945065798,13.548023057638696,36.456005433666526,73.12047656821944,21.70953709321998,0.026123659999999983,45.89820216535933,5.28107900157895,88.6012289857075,3.2041639575194445,0.15522988477768973,0.07958942958607845,3.5105847002202064,0.04382621330412315,0.1181435414710418,0.5393963359025037,1.689042234612162,20.924584586029358,9.04290747214051,0.0014714892042493077,3.1909744979494383,0.3990837444196738
4.0,nominal,LL,10,512,512,25,100000,37896.6,38.6,0.10181861593735833,43.52058729427618,45.71210622490545,1.2823907624453135,5.096936074381015,15.024509232130645,47.4317293482815,100.05431238436692,15.562306422348621,0.01831340499999997,56.708970077866454,6.963408302673644,702.5838344599507,7.456540752922898,0.019412573139481,0.26355973463875965,7.221084076198437,0.013141874243316256,0.056189298741824135,0.22056820034474825,0.9733276456019949,10.013987585711432,1.1753232572627705,0.00028275574112455917,1.3334305927790848,0.14930848653547882
4.0,tuned,ALL,10,512,128,64,353910,84784.6,83.0,0.09797119556548715,100.0,100.0,2.0960893801468186,6.535434978731137,19.82037853834623,45.25474940706482,166.86850095496305,15.592432166090806,0.07869582999999997,21.675120127589558,9.854704597161756,1095.0819553297779,8.94427190999916,0.011223683136721757,0.0,0.0,0.02818338999221952,0.05135673575600112,0.20159377942928644,0.5157792396669307,60.730124738326225,2.020677955781186,0.0016894187026574939,0.3246356481725085,0.15625029876865065
4.0,tuned,BH,10,512,128,64,353910,45462.0,36.0,0.0792336480800965,53.620782913751896,43.32601653348199,3.2700622520274534,7.801675360027235,22.561282844129494,44.247085118956036,141.26823242736737,16.143596687603797,0.24581214999999998,11.450415592485069,12.437751438499873,639.9062431325387,7.2877370363584815,0.01624888235103715,0.3330079758830148,6.951274034274616,0.0469573825453801,0.06148947171704977,0.220876304061041,0.48905093266937166,68.28522938019319,2.5631641351215433,0.005395926334076281,0.1165976623204914,0.24308120592934535
4.0,tuned,BW,10,512,128,64,353910,1933.6,7.4,0.3850626476130971,2.281198210293651,9.061835026828089,1.4711558401789078,4.534003507398976,13.085450075327255,35.64392463143023,91.98118854617489,21.91375749243857,0.024782624999999992,47.33825921414591,4.826771995278373,63.93607919025236,2.836272984824353,0.15288336444043601,0.08895759825939464,3.6634915872956255,0.05127491751743992,0.15387442822030356,0.5891092243701501,2.9949952392225185,57.08896296109885,12.343103509656693,0.00302423128885213,5.054379991475876,0.5063843152820925
4.0,tuned,LL,10,512,128,64,353910,37389.0,39.6,0.10608022180230281,44.09801887595445,47.612148439689925,1.270992601981469,5.09929901297826,15.020376739237625,47.4761299120997,103.14457474040869,15.40074783825953,0.018372824999999978,56.45130265200932,6.974400530032094,612.6447221314771,6.703233050799691,0.01892119571353738,0.34845889059893453,5.150858804772708,0.022788050392495776,0.07088012797941766,0.24067909043392724,0.745292949838642,14.352746491225728,3.332502049287084,0.00045962528049731116,1.247029654050787,0.13542216630882434
8.0,nominal,ALL,10,512,512,25,100000,68956.0,62.7,0.09099675417317653,100.0,100.0,2.075637505829051,6.4790689031704165,19.637833573958943,44.70855886165664,243.53281020006457,15.316465666761506,0.081834885,21.183742412678622,9.712850967713514,814.0237506772545,6.9610024820822725,0.010674074918056987,0.0,0.0,0.02334020414520079,0.04350542698950825,0.15598072046787018,0.4000500035405422,292.19909876543807,1.4848154839288663,0.001738121876888006,0.2749576065866287,0.11680202393639505
8.0,nominal,BH,10,512,512,25,100000,38105.0,29.7,0.07799412787652024,55.2601998474272,47.4302101012311,3.227306854797354,7.766757295546722,22.461967511977267,44.20850507515989,205.37219900068303,15.350359749969716,0.25076175,11.24145935604291,12.332174894974397,469.25117652134526,5.100108931298538,0.013684536904276757,0.27964308240955194,6.340961273462152,0.04000519059840853,0.044947883543744176,0.15867013676998742,0.4497391688374167,300.6732297830579,1.4914565238057247,0.005161825410593077,0.12250553409640078,0.14314561778065246
8.0,nominal,BW,10,512,512,25,100000,1629.0,6.3,0.3898680051918549,2.3622886562078342,10.06823679177461,1.5111252749636563,4.614214785059631,13.44261274547292,35.19217288532677,75.49591121270664,18.877633290740892,0.02705844,45.84357894353647,5.16718196699491,62.767649133751846,2.7507574714370344,0.17610059067453657,0.08423789854138068,4.191192241761226,0.09924241620962689,0.14150884337383765,0.6393111536565126,1.7775307708559804,24.22788930826662,3.8361164081835875,0.004046320346094982,5.110852907252964,0.38880519877206554
8.0,nominal,LL,10,512,512,25,100000,29222.0,26.7,0.09143268853901812,42.37751149636496,42.501553106994294,1.2293928602452358,4.9038658563321675,14.329855401759584,46.17198725700859,132.67950937527863,14.984176973962724,0.01707955499999999,58.51329952739693,6.550521220698547,424.2326405798279,4.667856991049414,0.01633435463700111,0.32486363362560305,4.524041523594977,0.020367499834461532,0.04440313399318717,0.24615502036917355,0.6763635139840461,69.82081944670816,2.0375331495556237,0.000287952233162631,1.8150963427749174,0.119004570355275
8.0,tuned,ALL,10,512,128,64,250000,66949.0,64.6,0.09648123783317507,100.0,100.0,2.0605796701116117,6.39237665494335,19.380142110000932,44.20228073747456,127.75051328919938,15.774199547470683,0.07984522,21.242634641302832,9.50455556727077,759.7158825654633,10.905656024895215,0.016062682799280477,0.0,0.0,0.01126126654408399,0.043061928797487506,0.1507423280106572,0.3959633572863634,45.261015967761786,1.0205124342373026,0.001820591360001239,0.3013172967141642,0.10869925097901614
8.0,tuned,BH,10,512,128,64,250000,36452.4,28.7,0.07869097132014395,54.44894320690571,44.29605126791928,3.2188308765409808,7.664879909984377,22.15591220876019,43.46368080721117,111.2000432406376,16.17491761862214,0.2469589,11.231209935470522,12.072350495937242,371.03674570946,6.976946164173676,0.01882023542640458,0.19579889457834893,7.236116315321923,0.04417240090011845,0.056932072664880096,0.17739224638245107,0.40603039307619315,52.1673815326411,2.1774890748589,0.006898988975043952,0.23242509696851169,0.17625737737531716
8.0,tuned,BW,10,512,128,64,250000,1522.6,7.6,0.49872787910834643,2.2742264401276,11.532435904238882,1.5288844629212635,4.51003830543695,12.746100055646895,35.23967813481018,68.66425022816176,21.48229263561627,0.025388719999999983,48.847662133662844,4.786928190109254,35.3779592401823,3.8643671323171835,0.25391322151716217,0.043623461188468486,5.366220256081892,0.05774131624464037,0.11377136410547653,0.5151853730125501,1.3024551104113744,14.768060655585266,12.274689787285594,0.0032534117204695598,4.745134995849716,0.3054565345875971
